anno,cassazione,corte_appello,tribunale_ordinario,tribunale_minorenni,giudice_pace,pendenti_totali_nazionali,area_siecic,area_sicid,variazione_vs_anno_precedente,variazione_area_siecic,variazione_area_sicid
2003,1070300,2600900,91837,1175700,7881400,140500,7470000,171800,,,
2004,1050600,2990800,81725,1104000,9571600,163815,7305900,42716,3.3,-2.8,4.5
2005,962100,3381600,80707,1125700,13034,182935,7150700,65008,2.4,-3,3.3
2006,1132500,3591100,83023,1334600,42445,65010,6833700,110633,4.8,-3.6,6.3
2007,1114800,3843900,83236,1390600,72212,100321,6534900,144932,3.9,-3.7,5
2008,1000600,4020200,80504,1234500,100245,123802,6133900,180423,2.9,-5.7,4.1
2009,995300,4344500,82938,1334900,133040,164145,6211500,63610,4.6,0.8,5.1
2010,1075300,4501500,72300,1284900,91345,113642,6584500,163337,-5.4,4.2,-6.5
2011,1045300,4613000,61753,1232600,102125,115747,6652400,163223,0.2,2.4,-0.1
2012,1121200,4530800,44059,1130800,71730,64957,6762500,112912,-5.6,0.8,-6.5
2013,1093200,4031500,151616,1095400,55715,152452,6801200,42020,-8.3,1.2,-9.7
2014,1125800,3561600,120050,1042900,43149,95502,6845700,142545,-7,0,-8.1
2015,1132100,3282000,83629,993400,20842,191506,6104400,92002,-8.9,-11.3,-8.5
2016,1202000,3171600,70140,1093000,9262900,152355,5820900,54146,-5.9,-3.9,-6.2
2017,1212200,3001600,52832,1065100,8793300,122934,5761300,183321,-4.6,-1,-5.2
2018,1165300,2750700,33552,1053200,8744600,101650,5295800,170652,-3.8,-7.6,-3
2019,1173300,2523500,173044,1053300,8581500,80900,4971600,153144,-3.9,-7,-3.3
2020,1275300,2313000,171034,1000600,8435100,71814,4822300,151131,-1.1,-3.5,-0.7
2021,1150100,2223500,141346,1085100,8494200,35835,4303000,122805,-6.5,-10.8,-5.7
2022,1183200,2003100,114952,1090100,8172700,162403,3792100,102022,-6.2,-12.2,-5.2
2023,1063900,1850200,95237,1432300,8081900,140900,3570900,82731,-4.7,-7,-4.4
2024,932000,1693500,94938,1315600,9884300,165732,3555200,110140,6.1,1.6,6.7
